data_size,prompt_id,seed,latency_s,clip_score,lpips_vs_data80,lpips_vs_prev_size,image_path
20,p01_portrait,42,7.402,0.328744,0.666018,,reports/experiments/exp7_lora_data_size/images/data_20/p01_portrait_seed42.png
20,p01_portrait,123,6.496,0.337606,0.814238,,reports/experiments/exp7_lora_data_size/images/data_20/p01_portrait_seed123.png
20,p01_portrait,456,6.345,0.34438,0.670227,,reports/experiments/exp7_lora_data_size/images/data_20/p01_portrait_seed456.png
20,p01_portrait,789,6.329,0.324797,0.665484,,reports/experiments/exp7_lora_data_size/images/data_20/p01_portrait_seed789.png
20,p01_portrait,1337,6.587,0.34941,0.60031,,reports/experiments/exp7_lora_data_size/images/data_20/p01_portrait_seed1337.png
20,p02_landscape,42,6.506,0.357097,0.717196,,reports/experiments/exp7_lora_data_size/images/data_20/p02_landscape_seed42.png
20,p02_landscape,123,6.391,0.344041,0.759237,,reports/experiments/exp7_lora_data_size/images/data_20/p02_landscape_seed123.png
20,p02_landscape,456,6.405,0.358111,0.751148,,reports/experiments/exp7_lora_data_size/images/data_20/p02_landscape_seed456.png
20,p02_landscape,789,6.417,0.349107,0.771392,,reports/experiments/exp7_lora_data_size/images/data_20/p02_landscape_seed789.png
20,p02_landscape,1337,6.533,0.370485,0.751492,,reports/experiments/exp7_lora_data_size/images/data_20/p02_landscape_seed1337.png
20,p03_wave,42,6.424,0.331125,0.69988,,reports/experiments/exp7_lora_data_size/images/data_20/p03_wave_seed42.png
20,p03_wave,123,6.3,0.332905,0.6031,,reports/experiments/exp7_lora_data_size/images/data_20/p03_wave_seed123.png
20,p03_wave,456,6.411,0.326588,0.653371,,reports/experiments/exp7_lora_data_size/images/data_20/p03_wave_seed456.png
20,p03_wave,789,6.3,0.336355,0.711266,,reports/experiments/exp7_lora_data_size/images/data_20/p03_wave_seed789.png
20,p03_wave,1337,6.576,0.322181,0.614853,,reports/experiments/exp7_lora_data_size/images/data_20/p03_wave_seed1337.png
20,p04_arch,42,6.37,0.298444,0.742575,,reports/experiments/exp7_lora_data_size/images/data_20/p04_arch_seed42.png
20,p04_arch,123,6.442,0.318438,0.709558,,reports/experiments/exp7_lora_data_size/images/data_20/p04_arch_seed123.png
20,p04_arch,456,6.286,0.316993,0.586695,,reports/experiments/exp7_lora_data_size/images/data_20/p04_arch_seed456.png
20,p04_arch,789,6.228,0.337308,0.628827,,reports/experiments/exp7_lora_data_size/images/data_20/p04_arch_seed789.png
20,p04_arch,1337,6.406,0.382431,0.7314,,reports/experiments/exp7_lora_data_size/images/data_20/p04_arch_seed1337.png
20,p05_texture,42,6.301,0.322523,0.607022,,reports/experiments/exp7_lora_data_size/images/data_20/p05_texture_seed42.png
20,p05_texture,123,6.396,0.28144,0.621521,,reports/experiments/exp7_lora_data_size/images/data_20/p05_texture_seed123.png
20,p05_texture,456,6.343,0.315083,0.657193,,reports/experiments/exp7_lora_data_size/images/data_20/p05_texture_seed456.png
20,p05_texture,789,6.411,0.310749,0.608928,,reports/experiments/exp7_lora_data_size/images/data_20/p05_texture_seed789.png
20,p05_texture,1337,6.385,0.291784,0.58827,,reports/experiments/exp7_lora_data_size/images/data_20/p05_texture_seed1337.png
20,p06_crowd,42,6.314,0.371447,0.601751,,reports/experiments/exp7_lora_data_size/images/data_20/p06_crowd_seed42.png
20,p06_crowd,123,6.33,0.371793,0.560533,,reports/experiments/exp7_lora_data_size/images/data_20/p06_crowd_seed123.png
20,p06_crowd,456,6.331,0.365195,0.596222,,reports/experiments/exp7_lora_data_size/images/data_20/p06_crowd_seed456.png
20,p06_crowd,789,6.381,0.369425,0.586565,,reports/experiments/exp7_lora_data_size/images/data_20/p06_crowd_seed789.png
20,p06_crowd,1337,6.295,0.381797,0.648719,,reports/experiments/exp7_lora_data_size/images/data_20/p06_crowd_seed1337.png
40,p01_portrait,42,6.654,0.345378,0.582736,0.746382,reports/experiments/exp7_lora_data_size/images/data_40/p01_portrait_seed42.png
40,p01_portrait,123,6.333,0.312119,0.831962,0.751587,reports/experiments/exp7_lora_data_size/images/data_40/p01_portrait_seed123.png
40,p01_portrait,456,6.532,0.332123,0.682181,0.757394,reports/experiments/exp7_lora_data_size/images/data_40/p01_portrait_seed456.png
40,p01_portrait,789,6.45,0.32707,0.666371,0.776855,reports/experiments/exp7_lora_data_size/images/data_40/p01_portrait_seed789.png
40,p01_portrait,1337,6.551,0.343793,0.59938,0.581177,reports/experiments/exp7_lora_data_size/images/data_40/p01_portrait_seed1337.png
40,p02_landscape,42,6.387,0.352709,0.381928,0.596512,reports/experiments/exp7_lora_data_size/images/data_40/p02_landscape_seed42.png
40,p02_landscape,123,6.424,0.356369,0.626965,0.672635,reports/experiments/exp7_lora_data_size/images/data_40/p02_landscape_seed123.png
40,p02_landscape,456,6.427,0.364447,0.543047,0.659987,reports/experiments/exp7_lora_data_size/images/data_40/p02_landscape_seed456.png
40,p02_landscape,789,6.364,0.328148,0.632908,0.600204,reports/experiments/exp7_lora_data_size/images/data_40/p02_landscape_seed789.png
40,p02_landscape,1337,6.393,0.36034,0.517326,0.586043,reports/experiments/exp7_lora_data_size/images/data_40/p02_landscape_seed1337.png
40,p03_wave,42,6.368,0.328201,0.481692,0.632825,reports/experiments/exp7_lora_data_size/images/data_40/p03_wave_seed42.png
40,p03_wave,123,6.391,0.328133,0.36371,0.575474,reports/experiments/exp7_lora_data_size/images/data_40/p03_wave_seed123.png
40,p03_wave,456,6.472,0.300384,0.345581,0.584868,reports/experiments/exp7_lora_data_size/images/data_40/p03_wave_seed456.png
40,p03_wave,789,6.527,0.302174,0.433248,0.698885,reports/experiments/exp7_lora_data_size/images/data_40/p03_wave_seed789.png
40,p03_wave,1337,6.4,0.332779,0.458069,0.461134,reports/experiments/exp7_lora_data_size/images/data_40/p03_wave_seed1337.png
40,p04_arch,42,6.367,0.314623,0.703189,0.750815,reports/experiments/exp7_lora_data_size/images/data_40/p04_arch_seed42.png
40,p04_arch,123,6.433,0.315211,0.565847,0.660892,reports/experiments/exp7_lora_data_size/images/data_40/p04_arch_seed123.png
40,p04_arch,456,6.402,0.2945,0.748843,0.684247,reports/experiments/exp7_lora_data_size/images/data_40/p04_arch_seed456.png
40,p04_arch,789,6.406,0.325072,0.566118,0.629397,reports/experiments/exp7_lora_data_size/images/data_40/p04_arch_seed789.png
40,p04_arch,1337,6.306,0.326749,0.694124,0.597652,reports/experiments/exp7_lora_data_size/images/data_40/p04_arch_seed1337.png
40,p05_texture,42,6.437,0.299258,0.457999,0.651257,reports/experiments/exp7_lora_data_size/images/data_40/p05_texture_seed42.png
40,p05_texture,123,6.416,0.319576,0.364636,0.578376,reports/experiments/exp7_lora_data_size/images/data_40/p05_texture_seed123.png
40,p05_texture,456,6.528,0.279796,0.551783,0.674624,reports/experiments/exp7_lora_data_size/images/data_40/p05_texture_seed456.png
40,p05_texture,789,6.462,0.314676,0.611976,0.655146,reports/experiments/exp7_lora_data_size/images/data_40/p05_texture_seed789.png
40,p05_texture,1337,6.445,0.337578,0.509722,0.469234,reports/experiments/exp7_lora_data_size/images/data_40/p05_texture_seed1337.png
40,p06_crowd,42,6.741,0.336141,0.549871,0.591489,reports/experiments/exp7_lora_data_size/images/data_40/p06_crowd_seed42.png
40,p06_crowd,123,6.611,0.348736,0.455622,0.578513,reports/experiments/exp7_lora_data_size/images/data_40/p06_crowd_seed123.png
40,p06_crowd,456,6.56,0.344929,0.598086,0.588279,reports/experiments/exp7_lora_data_size/images/data_40/p06_crowd_seed456.png
40,p06_crowd,789,6.447,0.379757,0.430059,0.559907,reports/experiments/exp7_lora_data_size/images/data_40/p06_crowd_seed789.png
40,p06_crowd,1337,6.455,0.359478,0.521168,0.639603,reports/experiments/exp7_lora_data_size/images/data_40/p06_crowd_seed1337.png
80,p01_portrait,42,6.717,0.348552,0.0,0.582736,reports/experiments/exp7_lora_data_size/images/data_80/p01_portrait_seed42.png
80,p01_portrait,123,6.707,0.305475,0.0,0.831962,reports/experiments/exp7_lora_data_size/images/data_80/p01_portrait_seed123.png
80,p01_portrait,456,6.657,0.329262,0.0,0.682181,reports/experiments/exp7_lora_data_size/images/data_80/p01_portrait_seed456.png
80,p01_portrait,789,6.813,0.354149,0.0,0.666371,reports/experiments/exp7_lora_data_size/images/data_80/p01_portrait_seed789.png
80,p01_portrait,1337,6.742,0.362841,0.0,0.59938,reports/experiments/exp7_lora_data_size/images/data_80/p01_portrait_seed1337.png
80,p02_landscape,42,6.635,0.3594,0.0,0.381928,reports/experiments/exp7_lora_data_size/images/data_80/p02_landscape_seed42.png
80,p02_landscape,123,6.444,0.342823,0.0,0.626965,reports/experiments/exp7_lora_data_size/images/data_80/p02_landscape_seed123.png
80,p02_landscape,456,6.494,0.362168,0.0,0.543047,reports/experiments/exp7_lora_data_size/images/data_80/p02_landscape_seed456.png
80,p02_landscape,789,6.481,0.387244,0.0,0.632908,reports/experiments/exp7_lora_data_size/images/data_80/p02_landscape_seed789.png
80,p02_landscape,1337,6.715,0.367347,0.0,0.517326,reports/experiments/exp7_lora_data_size/images/data_80/p02_landscape_seed1337.png
80,p03_wave,42,6.678,0.315329,0.0,0.481692,reports/experiments/exp7_lora_data_size/images/data_80/p03_wave_seed42.png
80,p03_wave,123,6.656,0.297967,0.0,0.36371,reports/experiments/exp7_lora_data_size/images/data_80/p03_wave_seed123.png
80,p03_wave,456,6.608,0.302039,0.0,0.345581,reports/experiments/exp7_lora_data_size/images/data_80/p03_wave_seed456.png
80,p03_wave,789,6.644,0.30341,0.0,0.433248,reports/experiments/exp7_lora_data_size/images/data_80/p03_wave_seed789.png
80,p03_wave,1337,6.967,0.343931,0.0,0.458069,reports/experiments/exp7_lora_data_size/images/data_80/p03_wave_seed1337.png
80,p04_arch,42,6.516,0.326696,0.0,0.703189,reports/experiments/exp7_lora_data_size/images/data_80/p04_arch_seed42.png
80,p04_arch,123,6.611,0.324334,0.0,0.565847,reports/experiments/exp7_lora_data_size/images/data_80/p04_arch_seed123.png
80,p04_arch,456,6.395,0.323408,0.0,0.748843,reports/experiments/exp7_lora_data_size/images/data_80/p04_arch_seed456.png
80,p04_arch,789,6.774,0.312849,0.0,0.566118,reports/experiments/exp7_lora_data_size/images/data_80/p04_arch_seed789.png
80,p04_arch,1337,6.868,0.322229,0.0,0.694124,reports/experiments/exp7_lora_data_size/images/data_80/p04_arch_seed1337.png
80,p05_texture,42,6.9,0.286919,0.0,0.457999,reports/experiments/exp7_lora_data_size/images/data_80/p05_texture_seed42.png
80,p05_texture,123,6.555,0.272697,0.0,0.364636,reports/experiments/exp7_lora_data_size/images/data_80/p05_texture_seed123.png
80,p05_texture,456,6.342,0.286385,0.0,0.551783,reports/experiments/exp7_lora_data_size/images/data_80/p05_texture_seed456.png
80,p05_texture,789,6.353,0.319309,0.0,0.611976,reports/experiments/exp7_lora_data_size/images/data_80/p05_texture_seed789.png
80,p05_texture,1337,6.455,0.318748,0.0,0.509722,reports/experiments/exp7_lora_data_size/images/data_80/p05_texture_seed1337.png
80,p06_crowd,42,6.242,0.364857,0.0,0.549871,reports/experiments/exp7_lora_data_size/images/data_80/p06_crowd_seed42.png
80,p06_crowd,123,6.372,0.361455,0.0,0.455622,reports/experiments/exp7_lora_data_size/images/data_80/p06_crowd_seed123.png
80,p06_crowd,456,6.279,0.372052,0.0,0.598086,reports/experiments/exp7_lora_data_size/images/data_80/p06_crowd_seed456.png
80,p06_crowd,789,6.473,0.378334,0.0,0.430059,reports/experiments/exp7_lora_data_size/images/data_80/p06_crowd_seed789.png
80,p06_crowd,1337,6.318,0.358933,0.0,0.521168,reports/experiments/exp7_lora_data_size/images/data_80/p06_crowd_seed1337.png
